species;biogeo;in_out;Clade
Malayopython_reticulatus;Asia/Oceania;Outgroup;No
Malpolon_insignitus;Africa;Ingroup;Malpolon
Malpolon_moilensis;Africa/Arabia;Ingroup;Malpolon
Malpolon_monspessulanus;Africa;Ingroup;Malpolon
Naja_anchietae;Africa;Ingroup;Naja
Naja_annulata;Africa;Ingroup;Naja
Naja_annulifera;Africa;Ingroup;Naja
Naja_arabica;Arabia;Ingroup;Naja
Naja_ashei;Africa;Ingroup;Naja
Naja_atra;Asia/Oceania;Ingroup;Naja
Naja_guineensis;Africa;Ingroup;Naja
Naja_haje;Africa;Ingroup;Naja
Naja_kaouthia;Asia/Oceania;Ingroup;Naja
Naja_katiensis;Africa;Ingroup;Naja
Naja_mandalayensis;Asia/Oceania;Ingroup;Naja
Naja_melanoleuca;Africa;Ingroup;Naja
Naja_mossambica;Africa;Ingroup;Naja
Naja_multifasciata;Africa;Ingroup;Naja
Naja_naja;Asia/Oceania;Ingroup;Naja
Naja_nigricincta;Africa;Ingroup;Naja
Naja_nigricollis;Africa;Ingroup;Naja
Naja_nivea;Africa;Ingroup;Naja
Naja_nubiae;Africa;Ingroup;Naja
Naja_pallida;Africa;Ingroup;Naja
Naja_peroescobari;Africa;Ingroup;Naja
Naja_savannula;Africa;Ingroup;Naja
Naja_senegalensis;Africa;Ingroup;Naja
Naja_siamensis;Asia/Oceania;Ingroup;Naja
Naja_sputatrix;Asia/Oceania;Ingroup;Naja
Naja_subfulva;Africa;Ingroup;Naja
Naja_sumatrana;Asia/Oceania;Ingroup;Naja
Pareas_carinatus;Asia/Oceania;Outgroup;No
Porthidium_arcosae;America;Outgroup;No
Porthidium_nasutum;America;Outgroup;No
Psammophis_aegyptius;Africa;Ingroup;Psammophis
Psammophis_angolensis;Africa;Ingroup;Psammophis
Psammophis_biseriatus;Africa;Ingroup;Psammophis
Psammophis_brevirostris;Africa;Ingroup;Psammophis
Psammophis_condanarus;Asia/Oceania;Ingroup;Psammophis
Psammophis_crucifer;Africa;Ingroup;Psammophis
Psammophis_elegans;Africa;Ingroup;Psammophis
Psammophis_jallae;Africa;Ingroup;Psammophis
Psammophis_leightoni;Africa;Ingroup;Psammophis
Psammophis_leopardinus;Africa;Ingroup;Psammophis
Psammophis_lineatus;Africa;Ingroup;Psammophis
Psammophis_lineolatus;Asia/Oceania;Ingroup;Psammophis
Psammophis_mossambicus;Africa;Ingroup;Psammophis
Psammophis_namibensis;Africa;Ingroup;Psammophis
Psammophis_notostictus;Africa;Ingroup;Psammophis
Psammophis_occidentalis;Africa;Ingroup;Psammophis
Psammophis_orientalis;Africa;Ingroup;Psammophis
Psammophis_phillipsii;Africa;Ingroup;Psammophis
Psammophis_praeornatus;Africa;Ingroup;Psammophis
Psammophis_punctulatus;Africa;Ingroup;Psammophis
Psammophis_rukwae;Africa;Ingroup;Psammophis
Psammophis_schokari;Africa/Arabia;Ingroup;Psammophis
Psammophis_sibilans;Africa;Ingroup;Psammophis
Psammophis_subtaeniatus;Africa;Ingroup;Psammophis
Psammophis_sudanensis;Africa;Ingroup;Psammophis
Psammophis_tanganicus;Africa;Ingroup;Psammophis
Psammophis_trigrammus;Africa;Ingroup;Psammophis
Rhamphiophis_rostratus;Africa;Outgroup;No
Rhinophis_drummondhayi;Asia/Oceania;Outgroup;No
Telescopus_beetzi;Africa;Ingroup;Telescopus
Telescopus_dhara;Arabia;Ingroup;Telescopus
Telescopus_fallax;EasternMed;Ingroup;Telescopus
Telescopus_hoogstraali;Africa;Ingroup;Telescopus
Telescopus_nigriceps;EasternMed;Ingroup;Telescopus
Telescopus_obtusus;Africa;Ingroup;Telescopus
Telescopus_pulcher;Africa;Ingroup;Telescopus
Telescopus_semiannulatus;Africa;Ingroup;Telescopus
Telescopus_tripolitanus;Africa;Ingroup;Telescopus
Telescopus_variegatus;Africa;Ingroup;Telescopus
Tropidophis_haetianus;America;Outgroup;No
Xenodermus_javanicus;Asia/Oceania;Outgroup;No
Xenopeltis_unicolor;Asia/Oceania;Outgroup;No
Xenotyphlops_grandidieri;Africa;Outgroup;No
